id,name,path,parent_id,sort_order,icon
1,"商品一覧","#","",10,fa-box-open
2,"お見積もり","/estimator","",20,fa-calculator
3,"ギャラリー","/gallery","",30,fa-images
31,"お役立ちコンテンツ","/articles","",32,fa-book-reader
11,"マイページ","/my-page","",35,fa-user
4,"プリントについて","/printing-info","",40,fa-paint-brush
5,"ご利用ガイド","/how-to-use","",50,fa-book-open
6,"プライバシーポリシー","/privacy-policy","",60,fa-user-shield
7,"Tシャツ","/search/Tシャツ","1",10,""
8,"ポロシャツ","/search/ポロシャツ","1",20,""
9,"スウェット・パーカー","/search/スウェット・パーカー","1",30,""
10,"トートバッグ","/search/トートバッグ","1",40,""
12,"ダッシュボード","/my-page/dashboard",11,10,fa-home
13,"お客様情報","/my-page/customerInfo",11,20,fa-user-cog
19,"配送先アドレス帳","/my-page/addressBook",11,25,fa-address-book
14,"見積もり情報","/my-page/estimates",11,30,fa-file-invoice
17,"ご依頼中案件の請求書","/my-page/invoices",11,35,fa-file-invoice-dollar
15,"進行状況ステータス","/my-page/status",11,40,fa-tasks
18,"出荷業者と追跡番号","/my-page/shipping",11,45,fa-truck
16,"過去の案件と書類のダウンロード","/my-page/history",11,50,fa-history
