productId,colorType,size,listPrice,purchasePrice
united-athle-500101,ホワイト,S,1000,300
united-athle-500101,ホワイト,M,1000,300
united-athle-500101,ホワイト,L,1000,300
united-athle-500101,ホワイト,XL,1000,300
united-athle-500101,カラー,S,1080,324
united-athle-500101,カラー,M,1080,324
united-athle-500101,カラー,L,1080,324
united-athle-500101,カラー,XL,1080,324
united-athle-500101,ホワイト,XXL,1260,378
united-athle-500101,カラー,XXL,1440,432
united-athle-500101,ホワイト,XXXL,1460,438
united-athle-500101,カラー,XXXL,1620,486
united-athle-500102,ホワイト,90,920,276
united-athle-500102,ホワイト,100,920,276
united-athle-500102,ホワイト,110,920,276
united-athle-500102,ホワイト,120,920,276
united-athle-500102,ホワイト,130,920,276
united-athle-500102,ホワイト,140,920,276
united-athle-500102,ホワイト,150,920,276
united-athle-500102,ホワイト,160,920,276
united-athle-500102,カラー,90,1000,300
united-athle-500102,カラー,100,1000,300
united-athle-500102,カラー,110,1000,300
united-athle-500102,カラー,120,1000,300
united-athle-500102,カラー,130,1000,300
united-athle-500102,カラー,140,1000,300
united-athle-500102,カラー,150,1000,300
united-athle-500102,カラー,160,1000,300
united-athle-500103,ホワイト,G-S,1000,300
united-athle-500103,ホワイト,G-M,1000,300
united-athle-500103,ホワイト,G-L,1000,300
united-athle-500103,カラー,G-S,1080,324
united-athle-500103,カラー,G-M,1080,324
united-athle-500103,カラー,G-L,1080,324
united-athle-425201,ホワイト,S,760,228
united-athle-425201,ホワイト,M,760,228
united-athle-425201,カラー,S,840,252
united-athle-425201,カラー,M,840,252
united-athle-500801,ホワイト,M,1300,390
united-athle-500801,ホワイト,L,1300,390
united-athle-500801,カラー,M,1400,420
united-athle-500801,カラー,L,1400,420
united-athle-505001,ホワイト,L,1500,450
united-athle-505001,カラー,L,1600,480
united-athle-505101,ホワイト,L,1700,510
united-athle-505101,カラー,L,1800,540
united-athle-521301,ホワイト,M,3000,900
united-athle-521301,カラー,M,3200,960
united-athle-561801,ホワイト,M,3200,960
united-athle-561801,カラー,M,3400,1020
