id,brand,code,baseCode,colors,tags,categoryId,jan_code
united-athle-500101,United Athle,500101,5001,"0001,0002,0005,0006,0007,0009,0010,0011,0013,0016,0019,0021,0022,0024,0025,0029,0033,0035,0036,0037,0052,0053,0054,0062,0064,0066,0069,0072,0076,0082,0083,0084,0085,0086,0087,0088,0095,0165,0190,0191,0232,0247,0269,0300,0369,0428,0487,0488,0494,0495,0497,0511,0532,0537,0538,0539,0545,0576,0584,0598,0717,0718,0720,0725,0739,0743","t_cotton,t_heavy",c001,4527078177531
united-athle-500102,United Athle,500102,5001,"0001,0002,0005,0006,0007,0009,0010,0019,0021,0022,0024,0025,0029,0033,0035,0036,0043,0062,0064,0066,0069,0072,0076,0082,0083,0084,0085,0086,0087,0088,0190,0232,0488,0497,0511,0532,0537,0538,0539,0545,0576,0598,0718,0720,0725","t_cotton,t_heavy",c001,4527078177548
united-athle-500103,United Athle,500103,5001,"0001,0002,0005,0006,0007,0009,0010,0019,0021,0022,0024,0029,0033,0035,0052,0053,0062,0064,0066,0069,0072,0076,0082,0086,0087,0088,0165,0190,0191,0232,0247,0369,0487,0488,0494,0495,0497,0511,0537,0538,0539,0545,0574,0575,0576,0584,0717,0725","t_cotton,t_heavy",c001,4527078177555
united-athle-425201,United Athle,425201,4252,"0001,0002,0021,0025,0064,0069,0085,0086","t_dry,t_light,t_cheap",c001,4527078210344
united-athle-500801,United Athle,500801,5008,"0001,0002,0006,0007,0086","t_long_sleeve,t_cotton",c001,4527078189879
united-athle-505001,United Athle,505001,5050,"0001,0002,0069,0086","t_dry,t_kanoko",c002,4527078197775
united-athle-505101,United Athle,505101,5051,"0001,0002,0086","t_dry,t_kanoko,t_pocket",c002,4527078198338
united-athle-521301,United Athle,521301,5213,"0001,0002,0006,0086","t_parka,t_pile,t_cotton",c003,4527078230557
united-athle-561801,United Athle,561801,5618,"0001,0002,0006,0086","t_parka,t_brushed",c003,4527078235446
print-star-00085,Print Star,00085,085,"001,005,031,003","t_cotton,t_heavy,t_cheap",c001,4529478000574
print-star-00778,Print Star,00778,778,"001,005,003","t_sweat,t_heavy,t_brushed",c003,4529478330763
print-star-00777,Print Star,00777,777,"005,031,019","t_tote_m,t_canvas_heavy",c004,4529478330541
