key,value
"A. Global & Common",
common.loading,読み込み中...
common.error.loadingFailed,データの読み込みに失敗しました
common.error.reload,再読み込み
common.search,検索
common.cancel,キャンセル
common.save,保存する
common.edit,編集
common.delete,削除
common.add,追加
common.confirm,確認
common.close,閉じる
common.back,戻る
common.or,または
common.yes,はい
common.no,いいえ
common.required,"<span class=""text-accent text-xs"">*必須</span>"
common.na,-
common.free,無料
common.yen,"¥{{price}}"
common.itemCount,"{{count}}枚"
common.showDetails,詳細情報
scrollToTop.ariaLabel,ページトップに戻る
metadata.name,捺染兄弟
metadata.description,オリジナルTシャツを、簡単に見積もり。高品質なTシャツやアパレルに、あなたのデザインをプリント。小ロットから大口注文まで、ウェブで完結。
"B. Header",
header.home.ariaLabel,ホームに戻る
header.mobileMenu.open.ariaLabel,メインメニューを開く
header.mobileMenu.title,メニュー
"C. Footer (from theme_settings)",
footer.copyright,© 2024 Nassen Brothers Inc.
"D. Home Page",
home.hero.title,想いをカタチに、一枚から。
home.hero.subtitle,高品質なオリジナルTシャツを、ウェブで簡単に見積もり・注文。
home.estimatorButton.text,簡単見積もりスタート
home.search.title,商品を探す
home.search.placeholder,品番または商品名で検索 (例: 5001)
home.search.ariaLabel,商品を検索
home.search.button.ariaLabel,検索
home.suggestions.notFound,商品が見つかりません。
home.suggestions.history.clear,検索履歴を消去
home.suggestions.history.empty,検索履歴はありません。
home.suggestions.history.removeAriaLabel,"履歴「{{item}}」を削除"
home.category.title,カテゴリーから選ぶ
home.category.wip,(準備中)
"E. Estimator Page & Modals",
estimator.title,お見積もり
estimator.title.section1,1. 商品を使用リストに登録
estimator.title.section2,2. プリント位置、印刷色数、オプションの登録
estimator.title.section3,"3. 現在の内容で見積書を作成 <span class=""text-sm font-normal text-accent"">(デザインデータ未確認)</span>"
estimator.title.section4,4. 見積もりを保存してメールで送る
estimator.totalItemsHeader,"合計: {{count}}枚"
estimator.editButton.label,数量を修正
estimator.editButton.done,完了
estimator.editButton.cancel,キャンセル
estimator.emptyOrderList.message,Tシャツが追加されていません。
estimator.addItemButton.label,商品を登録する
estimator.addDesignButton.label,プリント内容を登録する
estimator.emptyDesignList.message,プリントするデザインが登録されていません。
estimator.provisionalPdf.description,デザインデータ入稿前の概算見積書をPDFでダウンロードできます。内容に修正がない場合はこの見積もりが最終的な金額となりますが、あくまで未確定のものとしてご確認ください。
estimator.provisionalPdf.button.label,PDFダウンロード (デザインデータ未確認)
estimator.provisionalPdf.button.loading,生成中...
estimator.saveAndSend.description,現在の見積もり内容をメールで送信して保存できます。後からマイページで確認したり、同じ内容で再注文する際に便利です。
estimator.saveAndSend.subject.label,"件名 <span class=""text-accent text-xs"">*必須</span>"
estimator.saveAndSend.subject.placeholder,例：〇〇イベント用Tシャツ
estimator.saveAndSend.email.label,"メールアドレス <span class=""text-accent text-xs"">*必須</span>"
estimator.saveAndSend.email.placeholder,メールアドレス
estimator.saveAndSend.button.label,メールで送信
estimator.saveAndSend.button.loading,送信中...
estimator.saveAndSend.success,見積もりを保存・送信しました。受信トレイをご確認ください。
estimator.saveAndSend.errorPrefix,エラー
estimator.saveAndSend.error.missingEmail,メールアドレスを入力してください。
estimator.saveAndSend.error.missingSubject,件名を入力してください。
estimator.reset.button,入力内容をリセット
estimator.reset.ariaLabel,すべての入力内容をクリアし、保存されたデータを削除します
estimator.reset.confirm,入力内容をすべてリセットして、保存されたデータも削除します。よろしいですか？
estimator.partner.welcome,"ようこそ、{{name}} 様"
estimator.partner.logout,ログアウト
estimator.reorder.title,追加注文モード
estimator.reorder.description,"見積もりID「{{id}}」の追加注文として作成中です。版代は無料になります。デザインの変更はできません。"
estimator.saveStatus.saving,自動保存中...
estimator.saveStatus.saved,サーバーに保存済
estimator.saveStatus.error,保存失敗
estimator.saveStatus.idle,入力内容は自動で保存されます
estimator.admin.title,管理者モード
estimator.admin.bringInMode,持ち込みモード（本体代を持ち込み手数料に設定）
estimator.admin.overrideQuantity.label,プリント対象枚数 (管理者用)
estimator.admin.overrideQuantity.placeholder,空欄の場合は注文リストの合計枚数
estimator.admin.overrideQuantity.description,持ち込み商品などがある場合、ここにプリントする合計枚数を入力してください。版代とプリント代の計算にのみ使用されます。
estimator.notification.restored,前回の入力内容を復元しました。
estimator.notification.adminEnabled,管理者モードが有効になりました
estimator.notification.adminDisabled,管理者モードが無効になりました
estimator.backToMyPage,マイページに戻る
"F. Print Design Form Modal",
printDesignForm.title.new,新規デザインを追加
printDesignForm.title.edit,デザインを編集
printDesignForm.section.basic,基本設定
printDesignForm.location.label,プリント箇所
printDesignForm.location.placeholder,箇所を選択...
printDesignForm.size.label,プリントサイズ
printDesignForm.size.unavailable,(選択不可)
printDesignForm.colors.label,総色数
printDesignForm.plateType.label,版の種類
printDesignForm.plateType.normal,通常版
printDesignForm.plateType.decomposition,分解版
printDesignForm.section.options,オプション
printDesignForm.specialInk.label,"特殊インク ({{count}} / {{total}} 色)"
printDesignForm.specialInk.empty,特殊インクはありません。
printDesignForm.specialInk.add,特殊インクを追加
printDesignForm.specialInk.type.ariaLabel,"特殊インク {{index}} の種類"
printDesignForm.specialInk.count.ariaLabel,"特殊インク {{index}} の色数"
printDesignForm.specialInk.remove.ariaLabel,"特殊インク {{index}} を削除"
printDesignForm.error.noLocation,プリント箇所を選択してください。
printDesignForm.error.noColors,色数は1以上で入力してください。
printDesignForm.error.duplicate,同じ「プリント箇所」と「プリントサイズ」の組み合わせのデザインは既に追加されています。
printDesignForm.error.inkCount,特殊インクの合計色数が、総色数を超えることはできません。
"G. Product Selection Modal",
productSelectionModal.title,Tシャツを選択
productSelectionModal.privilegedMode.info,"現在「{{brand}}」の製品のみ選択できます。他のブランドを追加する場合は、一度注文リストをクリアしてください。"
productSelectionModal.search.label,品番または商品名で検索
productSelectionModal.search.placeholder,"例: 5001, Tシャツ 厚手"
productSelectionModal.clearSelection,選択クリア
productSelectionModal.brand.label,ブランド
productSelectionModal.brand.placeholder,ブランドを選択
productSelectionModal.brand.unavailable,(選択不可)
productSelectionModal.product.label,商品
productSelectionModal.product.placeholder,商品を選択
productSelectionModal.selectedProduct.label,選択中の商品
productSelectionModal.color.label,色
productSelectionModal.color.outOfStock,(在庫なし)
productSelectionModal.size.label,サイズ
productSelectionModal.quantity.label,枚数
productSelectionModal.addItemButton,リストに追加
productSelectionModal.error.invalidSelection,サイズを選択し、1以上の枚数を入力してください。
productSelectionModal.error.outOfStock,選択された商品は在庫切れです。
"H. Partner Login Modal",
partnerLoginModal.title,パートナーコード入力
partnerLoginModal.description,割り当てられたパートナーコードを入力してください。
partnerLoginModal.code.label,パートナーコード
partnerLoginModal.error.invalidCode,無効なパートナーコードです。
partnerLoginModal.submitButton,ロック解除
partnerLoginModal.submitButton.loading,""
"I. Cost Summary",
costSummary.title,お見積もり結果
costSummary.perShirtLabel,1枚あたりの金額 (税込)
costSummary.breakdownTitle,内訳
costSummary.tshirtCostLabel,Tシャツ本体代
costSummary.tshirtCostBringInLabel,持ち込み手数料
costSummary.tshirtCostBringInHelp,Tシャツをお持ち込みいただく際の手数料です。商品の定価の5%を基準に算出し、10円未満を切り上げて計算されます。
costSummary.printCostLabel,プリント代
costSummary.printCostHelp,プリント代はご注文の合計枚数とデザインの色数によって決まります。枚数が多いほど1枚あたりの単価は安くなります。特殊インクや大判サイズ、特定の素材（裏起毛など）には追加料金がかかります。
costSummary.setupCostLabel,版代
costSummary.setupCostHelp,版代はプリントに使用する「版」を作成するための初期費用です。デザインの色数ごとに1つの版が必要となり、プリントサイズや版の種類によって価格が異なります。
costSummary.subtotalLabel,小計 (税抜)
costSummary.shippingCostLabel,送料
costSummary.taxLabel,消費税 (10%)
costSummary.totalLabel,合計金額 (税込)
