id,manufacturer_id,product_code,productName,product_name,description,images,tags,brand,meta_title,meta_description,og_image_url,og_title,og_description
prod_manu_0002_110001,manu_0002,110001,"6.5オンス ファインジャージーTシャツ","6.5オンス ファインジャージーTシャツ",,,,,,,,,
prod_manu_0002_110501,manu_0002,110501,5.6オンストライブレンドBSTシャツ,5.6オンストライブレンドBSTシャツ,,,,,,,,,
prod_manu_0002_110801,manu_0002,110801,6.5ozファインジャージーBOXTシャツ,6.5ozファインジャージーBOXTシャツ,,,,,,,,,
prod_manu_0002_111001,manu_0002,111001,"6.5ozファインJ RF T裾ドローコード","6.5ozファインJ RF T裾ドローコード",,,,,,,,,
prod_manu_0002_111101,manu_0002,111101,"6.5ozファインジャージーLS Tシャツ","6.5ozファインジャージーLS Tシャツ",,,,,,,,,
prod_manu_0002_138401,manu_0002,138401,ウォッシュキャンバス&ツイルエプロン(クロス,ウォッシュキャンバス&ツイルエプロン(クロス,,,,,,,,,
prod_manu_0002_140501,manu_0002,140501,"デイリー フラット トートバッグ2pcs","デイリー フラット トートバッグ2pcs",,,,,,,,,
prod_manu_0002_141801,manu_0002,141801,"ライトナイロン R/S メッシュトートバッグ","ライトナイロン R/S メッシュトートバッグ",,,,,,,,,
prod_manu_0002_141901,manu_0002,141901,"ライトナイロン R/S ジム サック","ライトナイロン R/S ジム サック",,,,,,,,,
prod_manu_0002_142001,manu_0002,142001,"ライトナイロン リップストップ サコッシュ","ライトナイロン リップストップ サコッシュ",,,,,,,,,
prod_manu_0002_142201,manu_0002,142201,"ライトナイロン リップストップトートバッグ","ライトナイロン リップストップトートバッグ",,,,,,,,,
prod_manu_0002_142301,manu_0002,142301,ライトナイロンリップマルシェBAG,ライトナイロンリップマルシェBAG,,,,,,,,,
prod_manu_0002_146001,manu_0002,146001,レギュラーキャンバストートバッグ,レギュラーキャンバストートバッグ,,,,,,,,,
prod_manu_0002_146101,manu_0002,146101,レギュラーキャンバスサコッシュ,レギュラーキャンバスサコッシュ,,,,,,,,,
prod_manu_0002_146401,manu_0002,146401,"レギュラーキャンバス 2WAY トートバック","レギュラーキャンバス 2WAY トートバック",,,,,,,,,
prod_manu_0002_149001,manu_0002,149001,ヘビーキャンバススイッチングトート,ヘビーキャンバススイッチングトート,,,,,,,,,
prod_manu_0002_150801,manu_0002,150801,ヘビーキャンバストートバック中(ポケ,ヘビーキャンバストートバック中(ポケ,,,,,,,,,
prod_manu_0002_151501,manu_0002,151501,ヘビーキャンバスジップトートバック,ヘビーキャンバスジップトートバック,,,,,,,,,
prod_manu_0002_151801,manu_0002,151801,ヘビーキャンバストートバッグ大,ヘビーキャンバストートバッグ大,,,,,,,,,
prod_manu_0002_152201,manu_0002,152201,ヘヴィーキャンバスNPバッグ,ヘヴィーキャンバスNPバッグ,,,,,,,,,
prod_manu_0002_154301,manu_0002,154301,ヘビーキャンバスランチバッグ,ヘビーキャンバスランチバッグ,,,,,,,,,
prod_manu_0002_175901,manu_0002,175901,"T/Cオープンカラー S/S シャツ","T/Cオープンカラー S/S シャツ",,,,,,,,,
prod_manu_0002_177201,manu_0002,177201,"T/Cワーク S/S シャツ","T/Cワーク S/S シャツ",,,,,,,,,
prod_manu_0002_188001,manu_0002,188001,ナイロンイージーショーツ,ナイロンイージーショーツ,,,,,,,,,
prod_manu_0002_190101,manu_0002,190101,"7.0オンス スム-ス ラグラントラックJK","7.0オンス スム-ス ラグラントラックJK",,,,,,,,,
