id,manufacturer_id,product_code,stock_product_name,color_code,color_name,size_code,size_name,quantity,incoming_quantity_1,incoming_date_1,incoming_quantity_2,incoming_date_2,incoming_quantity_3,incoming_date_3,category_id,is_published,brand_id,list_price,cost_price,jan_code,created_at,updated_at
stock_manu_0004_TR180_5001_7999,manu_0004,TR180,"TR180-WH TrySail18ｶｰﾄﾞTｼｬﾂ 白 80cm",5001,ホワイト,7999,80cm,0,,,,,,,,,,,,34150459,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8000,manu_0004,TR180,"TR180-WH TrySail18ｶｰﾄﾞTｼｬﾂ 白 90cm",5001,ホワイト,8000,90㎝,0,,,,,,,,,,,,34150460,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8001,manu_0004,TR180,"TR180-WH 18番手子供T　白 100cm",5001,ホワイト,8001,100cm,0,,,,,,,,,,,,34139900,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8002,manu_0004,TR180,"TR180-WH 18番手子供T　白 110cm",5001,ホワイト,8002,110cm/JS,0,,,,,,,,,,,,34140000,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8003,manu_0004,TR180,"TR180-WH 18番手子供T　白 120cm",5001,ホワイト,8003,120cm,0,,,,,,,,,,,,34140050,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8004,manu_0004,TR180,"TR180-WH 18番手子供T　白 130cm",5001,ホワイト,8004,130cm/JM,0,,,,,,,,,,,,34140100,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8005,manu_0004,TR180,"TR180-WH 18番手子供T　白 140cm",5001,ホワイト,8005,140cm,0,,,,,,,,,,,,34140200,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8006,manu_0004,TR180,"TR180-WH 18番手子供T  白 150cm",5001,ホワイト,8006,150cm/JL,0,,,,,,,,,,,,34140300,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8007,manu_0004,TR180,"TR180-WH TrySail 18番手Tｼｬﾂ 白 Ｓ",5001,ホワイト,8007,Ｓ,0,,,,,,,,,,,,34150000,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8008,manu_0004,TR180,"TR180-WH TrySail 18番手Tｼｬﾂ 白 Ｍ",5001,ホワイト,8008,Ｍ,0,,,,,,,,,,,,34150001,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8009,manu_0004,TR180,"TR180-WH TrySail 18番手Tｼｬﾂ 白 Ｌ",5001,ホワイト,8009,Ｌ,0,,,,,,,,,,,,34150002,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8010,manu_0004,TR180,"TR180-WH TrySail 18番手Tｼｬﾂ 白 XL",5001,ホワイト,8010,ＸＬ(LL),0,,,,,,,,,,,,34150003,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8011,manu_0004,TR180,"TR180-WH TrySail 18番手Tｼｬﾂ 白 XXL",5001,ホワイト,8011,ＸＸＬ（3Ｌ）,0,,,,,,,,,,,,34150004,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8012,manu_0004,TR180,"TR180-WH TrySail 18番手Tｼｬﾂ 白 4L",5001,ホワイト,8012,4Ｌ,0,,,,,,,,,,,,34150005,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5001_8013,manu_0004,TR180,"TR180-WH TrySail 18番手Tｼｬﾂ 白 5L",5001,ホワイト,8013,5Ｌ,0,,,,,,,,,,,,34150006,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8000,manu_0004,TR180,"TR180-BK TrySail18ｶｰﾄﾞTｼｬﾂ 黒 90cm",5002,ブラック,8000,90㎝,0,,,,,,,,,,,,34150455,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8001,manu_0004,TR180,"TR180-BK 18番手子供T　黒 100cm",5002,ブラック,8001,100cm,0,,,,,,,,,,,,34139901,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8002,manu_0004,TR180,"TR180-BK 18番手子供T　黒 110cm",5002,ブラック,8002,110cm/JS,0,,,,,,,,,,,,34140001,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8003,manu_0004,TR180,"TR180-BK 18番手子供T　黒 120cm",5002,ブラック,8003,120cm,0,,,,,,,,,,,,34140051,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8004,manu_0004,TR180,"TR180-BK 18番手子供T　黒 130cm",5002,ブラック,8004,130cm/JM,0,,,,,,,,,,,,34140101,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8005,manu_0004,TR180,"TR180-BK 18番手子供T　黒 140cm",5002,ブラック,8005,140cm,0,,,,,,,,,,,,34140201,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8006,manu_0004,TR180,"TR180-BK 18番手子供T　黒 150cm",5002,ブラック,8006,150cm/JL,0,,,,,,,,,,,,34140301,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8007,manu_0004,TR180,"TR180-BK TrySail 18番手Tｼｬﾂ 黒 Ｓ",5002,ブラック,8007,Ｓ,0,,,,,,,,,,,,34150011,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8008,manu_0004,TR180,"TR180-BK TrySail 18番手Tｼｬﾂ 黒 Ｍ",5002,ブラック,8008,Ｍ,0,,,,,,,,,,,,34150012,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8009,manu_0004,TR180,"TR180-BK TrySail 18番手Tｼｬﾂ 黒 Ｌ",5002,ブラック,8009,Ｌ,0,,,,,,,,,,,,34150013,"2025-11-13 19:07:30","2025-11-13 19:07:30"
stock_manu_0004_TR180_5002_8010,manu_0004,TR180,"TR180-BK TrySail 18番手Tｼｬﾂ 黒 XL",5002,ブラック,8010,ＸＬ(LL),0,,,,,,,,,,,,34150014,"2025-11-13 19:07:30","2025-11-13 19:07:30"
