id,fileName,japaneseName,type,description,page,usage
"mod_1760980081569_lmxgi","components/QueryGenerator.tsx","クエリ生成コンポーネント","ui/component","ユーザーの入力や設定に基づいて、データ取得のためのクエリ（例：APIクエリ、データベースクエリなど）を構築し、生成する役割を持つコンポーネントです。他のUIコンポーネントから利用される、またはクエリ構築のためのUI機能を提供する場合があります。","",""
"mod_1760980081569_4rqy7","data/mock-db.json","開発用模擬データベースデータ","other","開発やテスト環境において、実際のデータベースの代わりに利用される、アプリケーションの動作確認用のダミーデータを提供するJSONファイルです。","",""
"mod_1760980081569_ppoqa","components/EditCustomerModal.tsx","顧客編集モーダル","ui/component","既存の顧客情報を編集するためのモーダルダイアログUIコンポーネントです。ユーザーが顧客データを入力・更新するためのフォームと操作を提供します。","",""
"mod_1760980081569_dmcm0","components/PrintableEstimate.tsx","印刷可能見積もりコンポーネント","ui/component","見積もり情報を表示し、印刷に適したレイアウトとスタイルを提供するReactコンポーネントです。ユーザーがウェブページから見積もりを直接印刷する際などに使用されます。","",""
"mod_1760980081569_431q5","templates/partner_codes.csv","パートナーコードテンプレート","other","このファイルは、システムで使用されるパートナーコードの定義やマスターデータを保持するテンプレートとして機能します。データインポート、レポート生成、あるいは他のモジュールでの参照のために利用されることが想定されます。","",""
"mod_1760980081569_agnn6","templates/customers.csv","顧客データCSVテンプレート","other","顧客データのインポート、エクスポート、またはレポート生成に使用されるCSVファイルの構造とフォーマットを定義するテンプレートファイルです。これにより、システムが顧客情報をCSV形式で処理する際の標準化されたデータインターフェースを提供します。","",""
"mod_1760980081569_72lwc","templates/print_cost_combination.csv","コスト組み合わせレポートCSVテンプレート","other","複数のコスト要素の組み合わせに関する情報をCSV形式で出力するためのテンプレートファイルです。レポート生成機能が、この定義に基づいてデータを整形・出力する際に利用します。","",""
"mod_1760980081569_fk5ls","templates/category_print_locations.csv","カテゴリ別印刷場所設定テンプレート","other/configuration","商品、サービス、または文書のカテゴリと、それに関連する印刷物の出力場所（例: プリンター、店舗、部署など）のマッピングを定義するためのCSVテンプレートまたは設定データ。このファイルは、印刷処理における適切な出力先の決定に利用されます。","",""
"mod_1760980081569_jaukb","templates/prefectures.csv","都道府県データ定義ファイル","other","日本の都道府県の情報を定義したCSV形式のデータファイルです。アプリケーションの初期データ、ドロップダウンリストなどのUI要素の選択肢、またはデータ検証のための参照元として利用されます。","",""
"mod_1760980081569_zqci8","package.json","プロジェクト設定ファイル","other","JavaScript/Node.jsプロジェクトの基本的な情報、依存関係、スクリプト、バージョン管理などを定義するファイルです。プロジェクト全体の構成や開発プロセスを管理します。","",""
"mod_1760980081569_7mfki","components/PrintHistoryTool.tsx","印刷履歴ツール","ui/","印刷されたアイテムやジョブの履歴を表示し、ユーザーが管理できるようにするUIコンポーネントです。","",""
"mod_1760980081569_hqlgd","templates/ink_base_colors.csv","インク基本色定義データ","other","このモジュールは、テンプレートシステムやデザイン関連の機能で利用されるインクの基本的な色の定義をCSV形式で提供します。これにより、アプリケーション全体で統一された色設定を実現します。","",""
"mod_1760980081569_l7s85","templates/ink_recipe_components.csv","インク配合成分テンプレート","other","このCSVファイルは、様々なインク配合の作成に使用される成分や要素を定義するデータテンプレートです。インクの処方プロセスにおける基礎的な情報源として機能します。","",""
"mod_1760980081569_vpb5s","templates/dtf_consumables.csv","DTF消耗品データテンプレート","other","DTF（Digital Transfer Film または Direct-to-Film）関連システムで使用される消耗品情報を定義するためのCSV形式のテンプレートファイルです。消耗品データの入力、インポート、または関連するデータ生成のベースとして利用されます。","",""
"mod_1760980081569_sbfwx","components/DtfPriceCalculator.tsx","DTF価格計算コンポーネント","ui/component","DTF（Direct-to-Filmなど、文脈による）に関連する製品やサービスの価格を計算し、その結果をユーザーインターフェースとして表示するReactコンポーネントです。ユーザーからの入力を受け付け、動的に価格を計算するロジックを含みます。","",""
"mod_1760980081569_rhb7t","components/QuoteTypeSelector.tsx","引用タイプ選択コンポーネント","ui/component","ユーザーが引用（Quote）の種類や形式を選択するためのUI要素を提供するコンポーネントです。例えば、引用のスタイル、引用元の表示方法などを切り替える機能を持つと推測されます。","",""
"mod_1760980081569_8735m","scripts/prepare-deployment.js","デプロイメント準備スクリプト","other","このモジュールは、ソフトウェアのデプロイメントを実行する前に必要な準備タスク（ビルド、設定、ファイルの整理、依存関係のチェックなど）を自動化します。デプロイプロセスを円滑かつ確実に進めるための支援を行います。","",""
"mod_1760980081569_dtlaw","scripts/build-cleanup.js","ビルドクリーンアップスクリプト","other","ビルドプロセス中に生成された一時ファイルや不要なビルド成果物などを削除し、プロジェクトの作業ディレクトリを整理する役割を持つモジュールです。通常、ビルド前またはビルド後に実行されます。","",""
"mod_1760980081569_5gmgp","htaccess.txt","Webサーバー設定管理 (.htaccess)","other","Webサーバー（主にApache）のディレクトリごとの設定を管理し、URLリライト、アクセス制御、認証、エラーページなどの振る舞いを定義するモジュールです。ファイル名が「htaccess.txt」であることから、本番環境の`.htaccess`ファイルのテンプレート、バックアップ、またはテキスト形式での設定記述を目的としていると推測されます。","",""
"mod_1760980081569_hvn76","templates/pdf_preview_zoom_configs.csv","PDFプレビューズーム設定管理モジュール","ui","PDFプレビュー機能において、ドキュメントのズームレベルや表示に関する設定値を定義し、UIコンポーネントや関連サービスに提供する役割を担います。このCSVファイルは、これらの設定値のテンプレートまたはデフォルト値として利用されます。","",""
"mod_1760980081569_ayacj","templates/invoice_parsing_templates.csv","請求書解析テンプレート定義","other","請求書から特定の情報を正確に抽出するための解析ルールやデータ構造を定義したCSVファイルです。自動請求書処理システムやコアロジックによって参照され、多様な請求書の形式に対応するために使用されます。","",""
"mod_1760980081569_nugzk","templates/display_settings.csv","画面表示設定","ui","ユーザーインターフェース（UI）における表示項目、順序、可視性などの画面表示に関する設定情報を定義・管理するモジュールです。CSV形式で設定が記述されています。","",""
"mod_1760980081569_feipk","templates/layout_settings.csv","UIレイアウト設定管理","ui/configuration","ウェブアプリケーションやページにおけるユーザーインターフェースのレイアウトに関する設定データ（表示要素の配置、表示/非表示条件など）を管理し、UIコンポーネントやプレゼンテーション層に提供するモジュールです。CSV形式でデータが保持されているため、設定の柔軟な更新や外部ツールとの連携が容易である可能性を示唆します。","",""
"mod_1760980081569_joy70","templates/dev_constitution.csv","開発憲章テンプレート","other","このCSVファイルは、開発チームの基本的な規範や運用ルールを定義するためのテンプレートです。プロジェクトの共通認識や開発プロセスを確立する際に参照されることを想定しています。","",""
"mod_1760980081569_t9t5p","templates/dev_guidelines_recommended.csv","開発推奨ガイドラインテンプレート","other","開発者が参照すべき推奨される開発ガイドラインやベストプラクティスを定義したCSV形式のテンプレートファイル。開発プロセスの標準化と品質向上を目的としています。","",""
"mod_1760980081569_nqcfp","templates/work_sessions.csv","作業セッションデータテンプレート","other","作業セッションに関するデータを定義するためのCSV形式のテンプレートファイルです。データインポート、デフォルトデータの提供、またはスキーマ定義に利用される可能性があります。","",""
"mod_1760980081569_c8mki","templates/dev_roadmap.csv","開発ロードマップテンプレート","other","開発チームがプロジェクトの計画やタスクの進行状況を管理するために使用する、ロードマップの標準フォーマットを定義したテンプレートファイルです。","",""
"mod_1760980081569_tah6s","components/WorkTimerManager.tsx","作業時間タイマー管理コンポーネント","ui/","作業時間の計測、表示、開始、停止などのロジックと状態管理を担当するReactコンポーネントです。ユーザーが自身の作業時間を効率的に追跡・管理するためのUIと機能を統合的に提供します。","",""
"mod_1760980081569_5y24t","types/settings.ts","設定の型定義","other","アプリケーションで使用される設定オブジェクトのデータ構造（インターフェースやタイプエイリアス）を定義するファイルです。これにより、設定データの整合性とタイプセーフなアクセスが保証されます。","",""
