id,fileName,japaneseName,type,description,page,usage
"mod_140","components/accounting/modals/AddBillModal.tsx","支払請求書登録モーダル","ui/modal","仕入先からの請求書情報をAI解析または手動で登録するためのモーダルです。","",""
"mod_141","components/AdditionalOptionsModal.tsx","追加オプション選択モーダル","ui/modal","袋詰めなどの追加オプションを選択するためのモーダルです。","",""
"mod_142","components/productmanagement/modals/AddProductGroupModal.tsx","商品グループ一括登録モーダル","ui/modal","ウィザード形式で、Tシャツなどの商品をカラー・サイズ・価格情報と共に一括で登録します。","",""
"mod_143","components/AddRowModal.tsx","行追加モーダル","ui/modal","データテーブルに新しい行を追加するための汎用モーダルです。","",""
"mod_144","components/BasicPricingSettingsModal.tsx","基本価格設定モーダル","ui/modal","製版代や送料など、基本的な価格設定テーブルを編集するためのモーダルです。","",""
"mod_145","components/customermanagement/modals/CustomerDetailsModal.tsx","顧客詳細モーダル","ui/modal","選択した顧客の詳細情報や案件履歴を表示します。","",""
"mod_146","components/CustomerSearchModal.tsx","顧客検索モーダル","ui/modal","既存の顧客を名前や電話番号で検索するためのモーダルです。","",""
"mod_147","components/DefinitionEditModal.tsx","定義項目編集モーダル","ui/modal","商品定義（メーカー、ブランド等）の項目を編集するための汎用モーダルです。","",""
"mod_148","components/DependencyEditModal.tsx","依存関係編集モーダル","ui/modal","ツールとテーブル間のデータ依存関係（読み書き権限など）を編集します。","",""
"mod_149","components/DesignSelectionModal.tsx","デザイン選択モーダル","ui/modal","指示書に含めるデザインを、仕上がりイメージメーカーで作成したパターンの中から選択するためのモーダルです。","",""
"mod_150","components/customermanagement/modals/EditCustomerModal.tsx","顧客編集モーダル","ui/modal","顧客情報の新規登録または既存顧客の情報を編集するためのモーダルです。","",""
"mod_151","components/EditEmailAccountModal.tsx","メールアカウント編集モーダル","ui/modal","メールアカウントの接続情報（IMAP/SMTPサーバーなど）を編集します。","",""
"mod_152","components/ordermanagement/modals/EditQuoteModal.tsx","案件編集モーダル","ui/modal","案件（見積）のステータス、日付、配送情報などを編集するためのモーダルです。","",""
