id,fileName,japaneseName,type,description,page,usage
mod_100,components/CanvasPreview.tsx,キャンバスプレビュー,ui/molecule,"仕上がりイメージメーカーなどで作成したデザインの縮小版を表示します。`layers`, `width`, `height`をpropsとして渡すことで、任意のサイズでデザインプレビューをレンダリングできます。",,
mod_101,components/DraggableResizableImage.tsx,ドラッグ可能画像,ui/molecule,"仕上がりイメージメーカーで使う、移動・拡縮・回転が可能な画像コンポーネントです。",,
mod_102,components/MemoryMonitor.tsx,メモリモニター,ui/molecule,"サイドバー下部に表示される、アプリケーションのメモリ使用量を監視するコンポーネントです。",,
mod_103,components/customermanagement/molecules/CustomerCard.tsx,顧客カード,ui/molecule,"顧客情報をグリッド表示するためのカード型コンポーネントです。",,
mod_104,components/document/molecules/DocumentCard.tsx,帳票カード,ui/molecule,"帳票一覧で各帳票をカード形式で表示します。",,
mod_105,components/document/molecules/DocumentFilter.tsx,帳票フィルター,ui/molecule,"帳票の種類で絞り込むためのフィルターボタン群です。",,
mod_106,components/email/molecules/EmailListItem.tsx,メール一覧アイテム,ui/molecule,"メール一覧で個々のメール情報を表示するリスト項目です。",,
mod_107,components/ordermanagement/molecules/QuoteCard.tsx,カンバン 案件カード,ui/molecule,"業務管理ツールのカンバン内で、個々の案件情報を表示するためのカード型コンポーネントです。",,
mod_108,components/printhistory/molecules/HistoryEntryCard.tsx,印刷履歴カード,ui/molecule,"印刷履歴の一覧で、個々の履歴をカード形式で表示します。",,
mod_109,components/productmanagement/molecules/ProductCard.tsx,商品カード,ui/molecule,"商品管理ツールで、個々の商品をカード形式で表示します。",,
mod_110,components/workrecord/molecules/ActiveTimer.tsx,計測中タイマー,ui/molecule,"現在計測中のタスク名、経過時間、停止ボタンを表示するUIです。",,
mod_111,components/workrecord/molecules/UnsavedLogForm.tsx,未保存ログフォーム,ui/molecule,"計測が終了した未保存の作業記録（メモ、関連案件）を入力・保存するためのフォームです。",,
mod_112,components/workrecord/molecules/WorkHistoryItem.tsx,作業履歴アイテム,ui/molecule,"保存済みの作業履歴を一行で表示するコンポーネントです。",,
mod_113,components/ui/Alert.tsx,アラート,ui/molecule,"ユーザーに注意や情報を伝えるためのメッセージボックスです。",,
mod_114,components/ui/Card.tsx,カード,ui/molecule,"コンテンツを囲むための基本的なカードコンポーネントと、そのヘッダーやフッターです。",,
mod_115,components/ui/Tooltip.tsx,ツールチップ,ui/molecule,"UI要素にマウスオーバーした際に補助的な説明を表示します。",,
mod_116,components/ui/PageHeader.tsx,ページヘッダー,ui/molecule,"各ツールのメインタイトル、説明文、操作ボタンをまとめたヘッダー部分です。",,
mod_117,components/ui/Pagination.tsx,ページネーション,ui/molecule,"データ一覧のページ送りを制御するUIです。",,
mod_118,components/ui/SearchInput.tsx,検索入力,ui/molecule,"検索アイコン付きの入力フィールドです。",,
mod_119,components/ui/StatusBadge.tsx,ステータスバッジ,ui/molecule,"値に応じて色やラベルが変化するバッジです。",,
mod_120,components/ui/AIQueryForm.tsx,AIクエリフォーム,ui/molecule,"AIへの指示入力と実行ボタンを組み合わせたフォームです。",,
mod_121,components/ui/FileUploadZone.tsx,ファイルアップロードゾーン,ui/molecule,"ファイルのドラッグ＆ドロップとクリックによるアップロード機能を提供します。",,
mod_122,components/ui/ColorInput.tsx,カラーピッカー入力,ui/molecule,"色の設定を行うためのカラーピッカーとテキスト入力を組み合わせたUIです。",,
mod_247,components/estimator/BringInItemRow.tsx,持ち込み品目行,ui/molecule,"見積作成ツールで、顧客の持ち込み商品を入力するための1行分のUIです。",,
mod_248,components/estimator/FreeInputItemRow.tsx,自由入力項目行,ui/molecule,"見積作成ツールで、割引や追加料金などを自由に入力するための1行分のUIです。",,
mod_249,components/estimator/SampleItemRow.tsx,サンプル項目行,ui/molecule,"見積作成ツールで、サンプル作成費用などを入力するための1行分のUIです。",,
mod_250,components/estimator/ProductDiscountSection.tsx,商品割引セクション,ui/molecule,"見積作成ツールで、手動で設定された商品ごとの割引額の合計と内訳を表示します。",,
mod_256,components/productionscheduler/molecules/TaskBar.tsx,ガントチャートタスクバー,ui/molecule,"生産スケジュールツールで、個々のタスクをガントチャート上のバーとして表示します。",,
mod_260,components/productmanagement/molecules/EditableField.tsx,編集可能フィールド,ui/molecule,"商品カードの編集モードで使用される入力フィールドです。",,
mod_267,components/printhistory/molecules/DesignHistoryForm.tsx,デザイン履歴フォーム,ui/molecule,"個別のデザインに対する印刷位置メモと仕上がり写真を登録するためのフォーム部品です。",,
mod_270,components/pdf-template-manager/molecules/DraggableBlock.tsx,ドラッグ可能ブロック,ui/molecule,"PDFテンプレートエディタで、各レイアウトブロックをドラッグ＆ドロップで並べ替え可能にするためのUIです。",,
mod_279,components/ui/ImageAssignmentRow.tsx,画像割り当て行,ui/molecule,"画像一括紐付けツールで、画像と商品を紐付けるための1行分のUIです。",,
mod_283,components/ui/GuideStep.tsx,ガイドステップUI,ui/molecule,"使い方ガイドページで、手順を分かりやすく表示するためのステップコンポーネントです。",,
mod_285,components/ui/EditableField.tsx,編集可能フィールド,ui/molecule,"インライン編集可能な入力フィールドを提供します。主にロジック管理ツールなどで使用されます。",,
mod_289,components/ui/EditableCell.tsx,編集可能セル,ui/molecule,"データテーブル内でのインライン編集を可能にするセルコンポーネントです。",,
mod_290,components/ui/DisplayCell.tsx,表示セル,ui/molecule,"データテーブル内で値を整形して表示するためのセルコンポーネントです。",,
mod_291,components/ui/OrderDetailRow.tsx,注文明細行,ui/molecule,"見積作成ツールで、注文された商品を1行で表示・編集するためのUIです。",,
