id,fileName,japaneseName,type,description,page,usage
"mod_123","components/DataTable.tsx","汎用データテーブル","ui/organism","データの表示、編集、削除、フィルタリング、ページネーション機能を持つ再利用可能なテーブルコンポーネントです。`schema`と`data`をpropsとして渡すことで、任意のテーブルデータを表示できます。各種コールバック関数 (`onUpdateRow`, `onDeleteRow`など) を渡すことで、データ操作をカスタマイズします。","",""
"mod_124","components/CostSummary.tsx","見積結果サマリー","ui/organism","見積計算結果の内訳と合計金額を表示します。","","`costService`から返された`CostDetails`オブジェクトをpropsとして渡すことで、見積もり結果を整形して表示します。"
"mod_125","components/PdfRenderer.tsx","PDFレンダラー","ui/organism","PDFテンプレートの定義に基づいて、帳票のレイアウトを実際に描画する中心的なコンポーネントです。","","`PrintableEstimate`コンポーネント内で使用されます。`blocks`（レイアウト定義）や各種帳票データを渡して使用します。"
"mod_126","components/Worksheet.tsx","作業指示書コンポーネント","ui/organism","印刷可能な作業指示書・確認書のレイアウトを定義するコンポーネントです。",,"`WorksheetGenerator`ツール内で使用されます。案件データ（`QuoteData`）を渡してレンダリングします。"
"mod_127","components/ordermanagement/organisms/KanbanColumn.tsx","カンバン カラム","ui/organism","業務管理ツールで、各ステータス（例：「未着手」「プリント中」）の列を表示するためのコンポーネントです。",,""
"mod_128","components/ai/AITriageView.tsx","AIトリアージビュー","ui/organism","AIによるメール解析結果（概要、カテゴリ、推奨アクション）を表示します。",,"メール管理ツールなどで、`selectedItem`としてメールオブジェクトを渡すことで利用できます。"
"mod_129","components/ai/AIReplyAssistant.tsx","AI返信アシスタント","ui/organism","担当者の簡単な指示とメール内容に基づき、AIが返信文案を生成します。",,"メール管理ツールなどで、`selectedItem`としてメールオブジェクトを渡すことで利用できます。"
"mod_130","components/ai/TaskList.tsx","タスク一覧UI","ui/organism","AIタスク管理ツールやダッシュボードで、タスクの一覧を表示・操作するためのコンポーネントです。",,"`tasks`（タスクの配列）を渡して表示します。`onSelectTask`などのコールバックで操作をハンドルします。"
"mod_131","components/dtf/DtfInputs.tsx","DTF計算 入力フォーム","ui/organism","DTF原価計算ツールで、ロゴサイズや数量などの計算条件を入力するためのフォームです。",,""
"mod_132","components/dtf/DtfResult.tsx","DTF計算 結果表示","ui/organism","DTF原価計算ツールで、計算結果（単価や原価詳細）を表示するためのコンポーネントです。",,""
"mod_133","components/estimator/CustomerInfoSection.tsx","顧客情報セクション","ui/organism","見積作成ツールで、顧客情報の検索や新規登録を行うためのUIセクションです。",,""
"mod_134","components/estimator/EstimationResultPanel.tsx","見積結果パネル","ui/organism","見積作成ツールで、計算結果をリアルタイムで表示するためのサイドパネルです。",,""
"mod_135","components/estimator/ProcessingGroupSection.tsx","加工グループセクション","ui/organism","見積作成ツールで、商品やプリントデザインをグループ化して管理するためのUIセクションです。",,""
"mod_136","components/estimator/QuoteIssuanceSection.tsx","見積発行セクション","ui/organism","見積作成ツールで、PDFテンプレートを選択し、見積書の発行・保存を行うためのUIセクションです。",,""
"mod_137","components/workrecord/organisms/WorkTimerManager.tsx","作業時間管理UI","ui/organism","作業時間の計測開始・停止、未保存記録の管理、履歴表示などの機能を提供します。",,"各種`show...`フラグをpropsとして渡すことで、表示する機能をカスタマイズできます。"
"mod_138","components/Login.tsx","ログイン画面","ui/organism","アプリケーションの入り口となるログインフォームです。",,""
"mod_139","components/CommandPalette.tsx","コマンドパレット","ui/organism","キーボードショートカットでツールやテーブルを検索・実行するためのUIです。",,""
"mod_242","components/devtools/AppModeSettings.tsx","アプリモード設定","ui/organism","開発ツール内で、アプリケーションの動作モード（ライブ/モック/CSV）を切り替えるUIです。",,""
"mod_244","components/devtools/CsvRewriteSettings.tsx","CSV書き戻し設定","ui/organism","開発ツール内で、メモリ上のデータをCSVに書き戻すための操作UIです。",,""
"mod_245","components/product/ProductQuantityInputMobile.tsx","数量入力(モバイル)","ui/organism","商品選択モーダル内で、モバイル表示の際に数量を入力するためのUIです。",,""
"mod_246","components/product/ProductQuantityMatrix.tsx","数量入力マトリクス","ui/organism","商品選択モーダル内で、PC表示の際にカラーとサイズのマトリクス形式で数量を入力するUIです。",,""
"mod_252","components/email/organisms/EmailSidebar.tsx","メールサイドバー","ui/organism","メールツールの左側に配置され、アカウントやフォルダ（受信トレイなど）のナビゲーションを提供します。",,""
"mod_253","components/email/organisms/EmailListPanel.tsx","メール一覧パネル","ui/organism","メールツールの中央に配置され、選択したフォルダ内のメールを一覧表示します。",,""
"mod_254","components/email/organisms/EmailComposer.tsx","メール作成UI","ui/organism","メールの新規作成や返信を行うためのUIです。宛先、件名、本文の入力やファイル添付機能があります。",,""
"mod_255","components/email/organisms/EmailDetailPanel.tsx","メール詳細パネル","ui/organism","メールツールの右側に配置され、選択したメールの内容やAIによる解析結果、返信支援機能などを提供します。",,""
"mod_257","components/productionscheduler/organisms/QuoteListPanel.tsx","案件リストパネル","ui/organism","生産スケジュールツールで、スケジュール対象となる案件の一覧を左側に表示します。",,""
"mod_258","components/productionscheduler/organisms/GanttChart.tsx","ガントチャート","ui/organism","生産スケジュールツールで、時間軸とタスクバーで構成されるメインのガントチャートUIです。",,""
"mod_264","components/productmanagement/organisms/ProductManager.tsx","商品管理メインパネル","ui/organism","商品管理ツールのメインUI。ツールバー、グリッド/リスト表示、モーダルなどを統括します。",,""
"mod_265","components/productmanagement/organisms/ProductToolbar.tsx","商品ツールバー","ui/organism","商品管理ツールの操作ボタン（表示切替、新規追加など）をまとめたツールバーです。",,""
"mod_266","components/productmanagement/organisms/ProductGrid.tsx","商品グリッド表示","ui/organism","商品管理ツールで、商品をカード形式のグリッドで表示するためのコンポーネントです。",,""
"mod_271","components/pdf-template-manager/organisms/PdfPreview.tsx","PDFプレビュー","ui/organism","PDFテンプレートエディタ内で、編集中のレイアウトをリアルタイムでプレビュー表示します。",,""
"mod_273","components/pdf-template-manager/organisms/SettingsPanel.tsx","PDF設定パネル","ui/organism","PDFテンプレートのフォントやズーム率などの全体設定を編集するためのパネルです。",,""
"mod_274","components/pdf-template-manager/organisms/LayoutBuilder.tsx","レイアウトビルダー","ui/organism","PDFテンプレートエディタの左側に配置され、レイアウトブロックの追加やAIによる生成機能を提供します。",,""
"mod_275","components/settings/ColorSettings.tsx","配色設定UI","ui/organism","表示設定ツール内で、アプリケーション全体の配色（ライト/ダークモード）を編集するためのUIです。",,""
