key,value
UI_THEME,dark
UI_BRAND_COLOR,#2563eb
UI_APP_BG_COLOR,#f3f4f6
UI_CONTAINER_BG_COLOR,#ffffff
UI_CONTAINER_MUTED_BG_COLOR,#f9fafb
UI_INPUT_BG_COLOR,#f3f4f6
UI_INPUT_FILTER_BG_COLOR,#ffffff
UI_CARD_BG_COLOR,#ffffff
UI_CARD_IMAGE_BG_COLOR,#ffffff
UI_HOVER_BG_COLOR,#f3f4f6
UI_SELECTED_BG_COLOR,#dbeafe
UI_ACTION_DANGER_COLOR,#dc2626
UI_FONT_COLOR,#1f2937
UI_TEXT_MUTED_COLOR,#6b7280
UI_TEXT_LINK_COLOR,#2563eb
UI_STATUS_SUCCESS_BG_COLOR,#dcfce7
UI_STATUS_SUCCESS_TEXT_COLOR,#166534
UI_STATUS_INFO_BG_COLOR,#dbeafe
UI_STATUS_INFO_TEXT_COLOR,#1e40af
UI_STATUS_WARNING_BG_COLOR,#fef9c3
UI_STATUS_WARNING_TEXT_COLOR,#854d0e
UI_STATUS_DANGER_BG_COLOR,#fee2e2
UI_STATUS_DANGER_TEXT_COLOR,#991b1b
UI_APP_BG_COLOR_DARK,#111827
UI_CONTAINER_BG_COLOR_DARK,#1f2937
UI_CONTAINER_MUTED_BG_COLOR_DARK,#374151
UI_INPUT_BG_COLOR_DARK,#374151
UI_INPUT_FILTER_BG_COLOR_DARK,#4b5563
UI_CARD_BG_COLOR_DARK,#1f2937
UI_CARD_IMAGE_BG_COLOR_DARK,#e5e7eb
UI_HOVER_BG_COLOR_DARK,#374151
UI_SELECTED_BG_COLOR_DARK,#1e40af
UI_INNER_BLOCK_BG_COLOR_DARK,#1f2937
UI_ACTION_DANGER_COLOR_DARK,#f87171
UI_FONT_COLOR_DARK,#f9fafb
UI_TEXT_MUTED_COLOR_DARK,#9ca3af
UI_TEXT_LINK_COLOR_DARK,#60a5fa
UI_STATUS_SUCCESS_BG_COLOR_DARK,#14532d
UI_STATUS_SUCCESS_TEXT_COLOR_DARK,#bbf7d0
UI_STATUS_INFO_BG_COLOR_DARK,#1e3a8a
UI_STATUS_INFO_TEXT_COLOR_DARK,#93c5fd
UI_STATUS_WARNING_BG_COLOR_DARK,#713f12
UI_STATUS_WARNING_TEXT_COLOR_DARK,#fef08a
UI_STATUS_DANGER_BG_COLOR_DARK,#7f1d1d
UI_STATUS_DANGER_TEXT_COLOR_DARK,#fca5a5
UI_BUTTON_PRIMARY_BG_COLOR,#2563eb
UI_BUTTON_PRIMARY_TEXT_COLOR,#ffffff
UI_BUTTON_MUTED_BG_COLOR,#e5e7eb
UI_BUTTON_MUTED_TEXT_COLOR,#1f2937
UI_BUTTON_PRIMARY_BG_COLOR_DARK,#60a5fa
UI_BUTTON_PRIMARY_TEXT_COLOR_DARK,#111827
UI_BUTTON_MUTED_BG_COLOR_DARK,#4b5563
UI_BUTTON_MUTED_TEXT_COLOR_DARK,#f9fafb
UI_BORDER_COLOR,#d1d5db
UI_BORDER_COLOR_DARK,#374151
UI_PDF_PREVIEW_BG_COLOR,#e5e7eb
UI_PDF_PREVIEW_BG_COLOR_DARK,#374151
UI_INNER_BLOCK_BG_COLOR,#ffffff
UI_WORKSHEET_BG_COLOR,#ffffff
UI_WORKSHEET_TEXT_COLOR,#000000
UI_WORKSHEET_BORDER_COLOR,#000000
UI_WORKSHEET_HEADER_BG_COLOR,#e5e7eb
UI_WORKSHEET_TOTAL_BG_COLOR,#d1d5db
UI_WORKSHEET_BG_COLOR_DARK,#2d3748
UI_WORKSHEET_TEXT_COLOR_DARK,#f7fafc
UI_WORKSHEET_BORDER_COLOR_DARK,#a0aec0
UI_WORKSHEET_HEADER_BG_COLOR_DARK,#4a5568
UI_WORKSHEET_TOTAL_BG_COLOR_DARK,#718096
